j1,j2,j3,j4,j5,j6,,j2,j3,j4,,j2,j3,j4,,j1,j2,j3,j4,j5,j6,,j2,j3,j4,,j2,j3,j4
0,0,0,0,0,0,,-37.02072363,-112.8903792,59.91110279,,-37.02072363,-112.8903792,59.91110279,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-36.07367633,-115.1454209,61.2190972,,-36.07367633,-115.1454209,61.2190972,,,,,,,,,,,,,,,
0.08,-37.26,-115.22,61.43,0.08,-45,,-35.14774414,-117.373625,62.52136918,,2.112255858,-2.153625035,1.091369177,,,,,,,,,,,,,,,
0.08,-37.26,-115.22,61.43,0.08,-45,,-34.24284758,-119.5768625,63.81971012,,3.01715242,-4.35686254,2.389710119,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-33.35907281,-121.756876,65.11594882,,-33.35907281,-121.756876,65.11594882,,,,,,,,,,,,,,,
0.08,-34.45,-121.46,65.56,0.08,-45,,-32.49668138,-123.9152974,66.41197881,,1.953318622,-2.455297427,0.851978805,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-31.65612455,-126.0536641,67.70978864,,-31.65612455,-126.0536641,67.70978864,,,,,,,,,,,,,,,
0.08,-32.78,-125.77,68.11,0.17,-45,,-30.83806314,-128.1734331,69.01149626,,1.941936858,-2.403433115,0.901496256,,,,,,,,,,,,,,,
0.08,-32.16,-127,68.9,0.17,-45,,-30.04339383,-130.2759952,70.31938902,,2.116606172,-3.275995192,1.41938902,,,,,,,,,,,,,,,
0.08,-31.11,-129.37,70.66,0.17,-45,,-29.27328355,-132.3626878,71.63597131,,1.836716454,-2.992687766,0.975971313,,,,,,,,,,,,,,,
0.08,-30.32,-131.39,72.07,0.17,-45,,-28.529214,-134.4348083,72.96402225,,1.790786001,-3.044808253,0.894022252,,,,,,,,,,,,,,,
0.08,-29.53,-133.5,73.3,0.17,-45,,-27.81303916,-136.4936277,74.30666685,,1.716960842,-2.993627697,1.006666855,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-27.1270597,-138.5404055,75.66746519,,-27.1270597,-138.5404055,75.66746519,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-26.47411989,-140.5764059,77.0505258,,-26.47411989,-140.5764059,77.0505258,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-25.85773464,-142.6029175,78.46065211,,-25.85773464,-142.6029175,78.46065211,,,,,,,,,,,,,,,
0.08,-26.63,-141.85,79.01,0.17,-45,,-25.28225798,-144.6212764,79.90353433,,1.347742021,-2.771276355,0.893534334,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-24.75310895,-146.6328962,81.38600517,,-24.75310895,-146.6328962,81.38600517,,,,,,,,,,,,,,,
0.08,-25.66,-146.07,81.65,0.08,-45,,-24.5155737,-147.63408,82.14965373,,1.144426303,-1.564080034,0.499653731,,,,,,,,,,,,,,,
